"AGE","GEO","UNIT","TIME","SEX","Value","Flag and Footnotes"
"42 years","Sibensko-kninska zupanija","Number","2011","Total","1,377",""
"42 years","Sibensko-kninska zupanija","Number","2011","Males","694",""
"42 years","Sibensko-kninska zupanija","Number","2011","Females","683",""
"42 years","Splitsko-dalmatinska zupanija","Number","2011","Total","6,146",""
"42 years","Splitsko-dalmatinska zupanija","Number","2011","Males","3,059",""
"42 years","Splitsko-dalmatinska zupanija","Number","2011","Females","3,087",""
"42 years","Istarska zupanija","Number","2011","Total","2,616",""
"42 years","Istarska zupanija","Number","2011","Males","1,280",""
"42 years","Istarska zupanija","Number","2011","Females","1,336",""
"42 years","Dubrovacko-neretvanska zupanija","Number","2011","Total","1,648",""
"42 years","Dubrovacko-neretvanska zupanija","Number","2011","Males","812",""
"42 years","Dubrovacko-neretvanska zupanija","Number","2011","Females","836",""
"42 years","Kontinentalna Hrvatska","Number","2011","Total","38,516",""
"42 years","Kontinentalna Hrvatska","Number","2011","Males","19,179",""
"42 years","Kontinentalna Hrvatska","Number","2011","Females","19,337",""
"42 years","Grad Zagreb","Number","2011","Total","10,681",""
"42 years","Grad Zagreb","Number","2011","Males","5,105",""
"42 years","Grad Zagreb","Number","2011","Females","5,576",""
"42 years","Zagrebacka zupanija","Number","2011","Total","4,328",""
"42 years","Zagrebacka zupanija","Number","2011","Males","2,208",""
"42 years","Zagrebacka zupanija","Number","2011","Females","2,120",""
"42 years","Krapinsko-zagorska zupanija","Number","2011","Total","1,837",""
"42 years","Krapinsko-zagorska zupanija","Number","2011","Males","931",""
"42 years","Krapinsko-zagorska zupanija","Number","2011","Females","906",""
"42 years","Varazdinska zupanija","Number","2011","Total","2,441",""
"42 years","Varazdinska zupanija","Number","2011","Males","1,242",""
"42 years","Varazdinska zupanija","Number","2011","Females","1,199",""
"42 years","Koprivnicko-krizevacka zupanija","Number","2011","Total","1,569",""
"42 years","Koprivnicko-krizevacka zupanija","Number","2011","Males","795",""
"42 years","Koprivnicko-krizevacka zupanija","Number","2011","Females","774",""
"42 years","Medimurska zupanija","Number","2011","Total","1,460",""
"42 years","Medimurska zupanija","Number","2011","Males","738",""
"42 years","Medimurska zupanija","Number","2011","Females","722",""
"42 years","Bjelovarsko-bilogorska zupanija","Number","2011","Total","1,507",""
"42 years","Bjelovarsko-bilogorska zupanija","Number","2011","Males","763",""
"42 years","Bjelovarsko-bilogorska zupanija","Number","2011","Females","744",""
"42 years","Viroviticko-podravska zupanija","Number","2011","Total","1,123",""
"42 years","Viroviticko-podravska zupanija","Number","2011","Males","577",""
"42 years","Viroviticko-podravska zupanija","Number","2011","Females","546",""
"42 years","Pozesko-slavonska zupanija","Number","2011","Total","1,042",""
"42 years","Pozesko-slavonska zupanija","Number","2011","Males","517",""
"42 years","Pozesko-slavonska zupanija","Number","2011","Females","525",""
"42 years","Brodsko-posavska zupanija","Number","2011","Total","2,105",""
"42 years","Brodsko-posavska zupanija","Number","2011","Males","1,027",""
"42 years","Brodsko-posavska zupanija","Number","2011","Females","1,078",""
"42 years","Osjecko-baranjska zupanija","Number","2011","Total","4,181",""
"42 years","Osjecko-baranjska zupanija","Number","2011","Males","2,074",""
"42 years","Osjecko-baranjska zupanija","Number","2011","Females","2,107",""
"42 years","Vukovarsko-srijemska zupanija","Number","2011","Total","2,322",""
"42 years","Vukovarsko-srijemska zupanija","Number","2011","Males","1,170",""
"42 years","Vukovarsko-srijemska zupanija","Number","2011","Females","1,152",""
"42 years","Karlovacka zupanija","Number","2011","Total","1,651",""
"42 years","Karlovacka zupanija","Number","2011","Males","870",""
"42 years","Karlovacka zupanija","Number","2011","Females","781",""
"42 years","Sisacko-moslavacka zupanija","Number","2011","Total","2,269",""
"42 years","Sisacko-moslavacka zupanija","Number","2011","Males","1,162",""
"42 years","Sisacko-moslavacka zupanija","Number","2011","Females","1,107",""
"43 years","Croatia","Number","2011","Total","59,203",""
"43 years","Croatia","Number","2011","Males","29,628",""
"43 years","Croatia","Number","2011","Females","29,575",""
"43 years","Hrvatska","Number","2011","Total","59,203",""
"43 years","Hrvatska","Number","2011","Males","29,628",""
"43 years","Hrvatska","Number","2011","Females","29,575",""
"43 years","Jadranska Hrvatska","Number","2011","Total","18,988",""
"43 years","Jadranska Hrvatska","Number","2011","Males","9,568",""
"43 years","Jadranska Hrvatska","Number","2011","Females","9,420",""
"43 years","Primorsko-goranska zupanija","Number","2011","Total","3,895",""
"43 years","Primorsko-goranska zupanija","Number","2011","Males","1,923",""
"43 years","Primorsko-goranska zupanija","Number","2011","Females","1,972",""
"43 years","Licko-senjska zupanija","Number","2011","Total","663",""
"43 years","Licko-senjska zupanija","Number","2011","Males","353",""
"43 years","Licko-senjska zupanija","Number","2011","Females","310",""
"43 years","Zadarska zupanija","Number","2011","Total","2,277",""
"43 years","Zadarska zupanija","Number","2011","Males","1,166",""
"43 years","Zadarska zupanija","Number","2011","Females","1,111",""
"43 years","Sibensko-kninska zupanija","Number","2011","Total","1,385",""
"43 years","Sibensko-kninska zupanija","Number","2011","Males","684",""
"43 years","Sibensko-kninska zupanija","Number","2011","Females","701",""
"43 years","Splitsko-dalmatinska zupanija","Number","2011","Total","6,207",""
"43 years","Splitsko-dalmatinska zupanija","Number","2011","Males","3,182",""
"43 years","Splitsko-dalmatinska zupanija","Number","2011","Females","3,025",""
"43 years","Istarska zupanija","Number","2011","Total","2,895",""
"43 years","Istarska zupanija","Number","2011","Males","1,417",""
"43 years","Istarska zupanija","Number","2011","Females","1,478",""
"43 years","Dubrovacko-neretvanska zupanija","Number","2011","Total","1,666",""
"43 years","Dubrovacko-neretvanska zupanija","Number","2011","Males","843",""
"43 years","Dubrovacko-neretvanska zupanija","Number","2011","Females","823",""
"43 years","Kontinentalna Hrvatska","Number","2011","Total","40,215",""
"43 years","Kontinentalna Hrvatska","Number","2011","Males","20,060",""
"43 years","Kontinentalna Hrvatska","Number","2011","Females","20,155",""
"43 years","Grad Zagreb","Number","2011","Total","11,042",""
"43 years","Grad Zagreb","Number","2011","Males","5,267",""
"43 years","Grad Zagreb","Number","2011","Females","5,775",""
"43 years","Zagrebacka zupanija","Number","2011","Total","4,486",""
"43 years","Zagrebacka zupanija","Number","2011","Males","2,257",""
"43 years","Zagrebacka zupanija","Number","2011","Females","2,229",""
"43 years","Krapinsko-zagorska zupanija","Number","2011","Total","2,045",""
"43 years","Krapinsko-zagorska zupanija","Number","2011","Males","1,058",""
"43 years","Krapinsko-zagorska zupanija","Number","2011","Females","987",""
"43 years","Varazdinska zupanija","Number","2011","Total","2,466",""
"43 years","Varazdinska zupanija","Number","2011","Males","1,253",""
"43 years","Varazdinska zupanija","Number","2011","Females","1,213",""
"43 years","Koprivnicko-krizevacka zupanija","Number","2011","Total","1,653",""
"43 years","Koprivnicko-krizevacka zupanija","Number","2011","Males","833",""
"43 years","Koprivnicko-krizevacka zupanija","Number","2011","Females","820",""
"43 years","Medimurska zupanija","Number","2011","Total","1,559",""
"43 years","Medimurska zupanija","Number","2011","Males","798",""
"43 years","Medimurska zupanija","Number","2011","Females","761",""
"43 years","Bjelovarsko-bilogorska zupanija","Number","2011","Total","1,585",""
"43 years","Bjelovarsko-bilogorska zupanija","Number","2011","Males","778",""
"43 years","Bjelovarsko-bilogorska zupanija","Number","2011","Females","807",""
"43 years","Viroviticko-podravska zupanija","Number","2011","Total","1,213",""
"43 years","Viroviticko-podravska zupanija","Number","2011","Males","620",""
"43 years","Viroviticko-podravska zupanija","Number","2011","Females","593",""
"43 years","Pozesko-slavonska zupanija","Number","2011","Total","1,046",""
"43 years","Pozesko-slavonska zupanija","Number","2011","Males","536",""
"43 years","Pozesko-slavonska zupanija","Number","2011","Females","510",""
"43 years","Brodsko-posavska zupanija","Number","2011","Total","2,108",""
"43 years","Brodsko-posavska zupanija","Number","2011","Males","1,069",""
"43 years","Brodsko-posavska zupanija","Number","2011","Females","1,039",""
"43 years","Osjecko-baranjska zupanija","Number","2011","Total","4,322",""
"43 years","Osjecko-baranjska zupanija","Number","2011","Males","2,130",""
"43 years","Osjecko-baranjska zupanija","Number","2011","Females","2,192",""
"43 years","Vukovarsko-srijemska zupanija","Number","2011","Total","2,525",""
"43 years","Vukovarsko-srijemska zupanija","Number","2011","Males","1,289",""
"43 years","Vukovarsko-srijemska zupanija","Number","2011","Females","1,236",""
"43 years","Karlovacka zupanija","Number","2011","Total","1,789",""
"43 years","Karlovacka zupanija","Number","2011","Males","903",""
"43 years","Karlovacka zupanija","Number","2011","Females","886",""
"43 years","Sisacko-moslavacka zupanija","Number","2011","Total","2,376",""
"43 years","Sisacko-moslavacka zupanija","Number","2011","Males","1,269",""
"43 years","Sisacko-moslavacka zupanija","Number","2011","Females","1,107",""
"44 years","Croatia","Number","2011","Total","61,384",""
"44 years","Croatia","Number","2011","Males","30,505",""
"44 years","Croatia","Number","2011","Females","30,879",""
"44 years","Hrvatska","Number","2011","Total","61,384",""
"44 years","Hrvatska","Number","2011","Males","30,505",""
"44 years","Hrvatska","Number","2011","Females","30,879",""
"44 years","Jadranska Hrvatska","Number","2011","Total","19,520",""
"44 years","Jadranska Hrvatska","Number","2011","Males","9,630",""
"44 years","Jadranska Hrvatska","Number","2011","Females","9,890",""
"44 years","Primorsko-goranska zupanija","Number","2011","Total","4,129",""
"44 years","Primorsko-goranska zupanija","Number","2011","Males","2,006",""
"44 years","Primorsko-goranska zupanija","Number","2011","Females","2,123",""
"44 years","Licko-senjska zupanija","Number","2011","Total","685",""
"44 years","Licko-senjska zupanija","Number","2011","Males","360",""
"44 years","Licko-senjska zupanija","Number","2011","Females","325",""
"44 years","Zadarska zupanija","Number","2011","Total","2,360",""
"44 years","Zadarska zupanija","Number","2011","Males","1,142",""
"44 years","Zadarska zupanija","Number","2011","Females","1,218",""
"44 years","Sibensko-kninska zupanija","Number","2011","Total","1,446",""
"44 years","Sibensko-kninska zupanija","Number","2011","Males","732",""
"44 years","Sibensko-kninska zupanija","Number","2011","Females","714",""
"44 years","Splitsko-dalmatinska zupanija","Number","2011","Total","6,259",""
"44 years","Splitsko-dalmatinska zupanija","Number","2011","Males","3,141",""
"44 years","Splitsko-dalmatinska zupanija","Number","2011","Females","3,118",""
"44 years","Istarska zupanija","Number","2011","Total","2,994",""
"44 years","Istarska zupanija","Number","2011","Males","1,464",""
"44 years","Istarska zupanija","Number","2011","Females","1,530",""
"44 years","Dubrovacko-neretvanska zupanija","Number","2011","Total","1,647",""
"44 years","Dubrovacko-neretvanska zupanija","Number","2011","Males","785",""
"44 years","Dubrovacko-neretvanska zupanija","Number","2011","Females","862",""
"44 years","Kontinentalna Hrvatska","Number","2011","Total","41,864",""
"44 years","Kontinentalna Hrvatska","Number","2011","Males","20,875",""
"44 years","Kontinentalna Hrvatska","Number","2011","Females","20,989",""
"44 years","Grad Zagreb","Number","2011","Total","11,394",""
"44 years","Grad Zagreb","Number","2011","Males","5,524",""
"44 years","Grad Zagreb","Number","2011","Females","5,870",""
"44 years","Zagrebacka zupanija","Number","2011","Total","4,563",""
"44 years","Zagrebacka zupanija","Number","2011","Males","2,245",""
"44 years","Zagrebacka zupanija","Number","2011","Females","2,318",""
"44 years","Krapinsko-zagorska zupanija","Number","2011","Total","2,036",""
"44 years","Krapinsko-zagorska zupanija","Number","2011","Males","1,051",""
"44 years","Krapinsko-zagorska zupanija","Number","2011","Females","985",""
"44 years","Varazdinska zupanija","Number","2011","Total","2,718",""
"44 years","Varazdinska zupanija","Number","2011","Males","1,420",""
"44 years","Varazdinska zupanija","Number","2011","Females","1,298",""
"44 years","Koprivnicko-krizevacka zupanija","Number","2011","Total","1,757",""
"44 years","Koprivnicko-krizevacka zupanija","Number","2011","Males","878",""
"44 years","Koprivnicko-krizevacka zupanija","Number","2011","Females","879",""
"44 years","Medimurska zupanija","Number","2011","Total","1,618",""
"44 years","Medimurska zupanija","Number","2011","Males","815",""
"44 years","Medimurska zupanija","Number","2011","Females","803",""
"44 years","Bjelovarsko-bilogorska zupanija","Number","2011","Total","1,628",""
"44 years","Bjelovarsko-bilogorska zupanija","Number","2011","Males","875",""
"44 years","Bjelovarsko-bilogorska zupanija","Number","2011","Females","753",""
"44 years","Viroviticko-podravska zupanija","Number","2011","Total","1,299",""
"44 years","Viroviticko-podravska zupanija","Number","2011","Males","645",""
"44 years","Viroviticko-podravska zupanija","Number","2011","Females","654",""
"44 years","Pozesko-slavonska zupanija","Number","2011","Total","1,095",""
"44 years","Pozesko-slavonska zupanija","Number","2011","Males","554",""
"44 years","Pozesko-slavonska zupanija","Number","2011","Females","541",""
"44 years","Brodsko-posavska zupanija","Number","2011","Total","2,194",""
"44 years","Brodsko-posavska zupanija","Number","2011","Males","1,076",""
"44 years","Brodsko-posavska zupanija","Number","2011","Females","1,118",""
"44 years","Osjecko-baranjska zupanija","Number","2011","Total","4,594",""
"44 years","Osjecko-baranjska zupanija","Number","2011","Males","2,244",""
"44 years","Osjecko-baranjska zupanija","Number","2011","Females","2,350",""
"44 years","Vukovarsko-srijemska zupanija","Number","2011","Total","2,624",""
"44 years","Vukovarsko-srijemska zupanija","Number","2011","Males","1,338",""
"44 years","Vukovarsko-srijemska zupanija","Number","2011","Females","1,286",""
"44 years","Karlovacka zupanija","Number","2011","Total","1,855",""
"44 years","Karlovacka zupanija","Number","2011","Males","929",""
"44 years","Karlovacka zupanija","Number","2011","Females","926",""
"44 years","Sisacko-moslavacka zupanija","Number","2011","Total","2,489",""
"44 years","Sisacko-moslavacka zupanija","Number","2011","Males","1,281",""
"44 years","Sisacko-moslavacka zupanija","Number","2011","Females","1,208",""
"45 years","Croatia","Number","2011","Total","62,650",""
"45 years","Croatia","Number","2011","Males","31,171",""
"45 years","Croatia","Number","2011","Females","31,479",""
"45 years","Hrvatska","Number","2011","Total","62,650",""
"45 years","Hrvatska","Number","2011","Males","31,171",""
"45 years","Hrvatska","Number","2011","Females","31,479",""
"45 years","Jadranska Hrvatska","Number","2011","Total","19,927",""
"45 years","Jadranska Hrvatska","Number","2011","Males","9,880",""
"45 years","Jadranska Hrvatska","Number","2011","Females","10,047",""
"45 years","Primorsko-goranska zupanija","Number","2011","Total","4,011",""
"45 years","Primorsko-goranska zupanija","Number","2011","Males","1,919",""
"45 years","Primorsko-goranska zupanija","Number","2011","Females","2,092",""
"45 years","Licko-senjska zupanija","Number","2011","Total","760",""
"45 years","Licko-senjska zupanija","Number","2011","Males","415",""
"45 years","Licko-senjska zupanija","Number","2011","Females","345",""
"45 years","Zadarska zupanija","Number","2011","Total","2,324",""
"45 years","Zadarska zupanija","Number","2011","Males","1,168",""
"45 years","Zadarska zupanija","Number","2011","Females","1,156",""
"45 years","Sibensko-kninska zupanija","Number","2011","Total","1,477",""
"45 years","Sibensko-kninska zupanija","Number","2011","Males","728",""
"45 years","Sibensko-kninska zupanija","Number","2011","Females","749",""
"45 years","Splitsko-dalmatinska zupanija","Number","2011","Total","6,494",""
"45 years","Splitsko-dalmatinska zupanija","Number","2011","Males","3,240",""
"45 years","Splitsko-dalmatinska zupanija","Number","2011","Females","3,254",""
"45 years","Istarska zupanija","Number","2011","Total","3,182",""
"45 years","Istarska zupanija","Number","2011","Males","1,582",""
"45 years","Istarska zupanija","Number","2011","Females","1,600",""
"45 years","Dubrovacko-neretvanska zupanija","Number","2011","Total","1,679",""
"45 years","Dubrovacko-neretvanska zupanija","Number","2011","Males","828",""
"45 years","Dubrovacko-neretvanska zupanija","Number","2011","Females","851",""
"45 years","Kontinentalna Hrvatska","Number","2011","Total","42,723",""
"45 years","Kontinentalna Hrvatska","Number","2011","Males","21,291",""
"45 years","Kontinentalna Hrvatska","Number","2011","Females","21,432",""
"45 years","Grad Zagreb","Number","2011","Total","11,314",""
"45 years","Grad Zagreb","Number","2011","Males","5,425",""
"45 years","Grad Zagreb","Number","2011","Females","5,889",""
"45 years","Zagrebacka zupanija","Number","2011","Total","4,618",""
"45 years","Zagrebacka zupanija","Number","2011","Males","2,298",""
"45 years","Zagrebacka zupanija","Number","2011","Females","2,320",""
"45 years","Krapinsko-zagorska zupanija","Number","2011","Total","2,049",""
"45 years","Krapinsko-zagorska zupanija","Number","2011","Males","1,066",""
"45 years","Krapinsko-zagorska zupanija","Number","2011","Females","983",""
"45 years","Varazdinska zupanija","Number","2011","Total","2,761",""
"45 years","Varazdinska zupanija","Number","2011","Males","1,418",""
"45 years","Varazdinska zupanija","Number","2011","Females","1,343",""
"45 years","Koprivnicko-krizevacka zupanija","Number","2011","Total","1,716",""
"45 years","Koprivnicko-krizevacka zupanija","Number","2011","Males","820",""
"45 years","Koprivnicko-krizevacka zupanija","Number","2011","Females","896",""
"45 years","Medimurska zupanija","Number","2011","Total","1,786",""
"45 years","Medimurska zupanija","Number","2011","Males","883",""
"45 years","Medimurska zupanija","Number","2011","Females","903",""
"45 years","Bjelovarsko-bilogorska zupanija","Number","2011","Total","1,760",""
"45 years","Bjelovarsko-bilogorska zupanija","Number","2011","Males","865",""
"45 years","Bjelovarsko-bilogorska zupanija","Number","2011","Females","895",""
"45 years","Viroviticko-podravska zupanija","Number","2011","Total","1,324",""
"45 years","Viroviticko-podravska zupanija","Number","2011","Males","682",""
"45 years","Viroviticko-podravska zupanija","Number","2011","Females","642",""
"45 years","Pozesko-slavonska zupanija","Number","2011","Total","1,190",""
"45 years","Pozesko-slavonska zupanija","Number","2011","Males","609",""
"45 years","Pozesko-slavonska zupanija","Number","2011","Females","581",""
"45 years","Brodsko-posavska zupanija","Number","2011","Total","2,381",""
"45 years","Brodsko-posavska zupanija","Number","2011","Males","1,244",""
"45 years","Brodsko-posavska zupanija","Number","2011","Females","1,137",""
"45 years","Osjecko-baranjska zupanija","Number","2011","Total","4,776",""
"45 years","Osjecko-baranjska zupanija","Number","2011","Males","2,380",""
"45 years","Osjecko-baranjska zupanija","Number","2011","Females","2,396",""
"45 years","Vukovarsko-srijemska zupanija","Number","2011","Total","2,638",""
"45 years","Vukovarsko-srijemska zupanija","Number","2011","Males","1,334",""
"45 years","Vukovarsko-srijemska zupanija","Number","2011","Females","1,304",""
"45 years","Karlovacka zupanija","Number","2011","Total","1,865",""
"45 years","Karlovacka zupanija","Number","2011","Males","953",""
"45 years","Karlovacka zupanija","Number","2011","Females","912",""
"45 years","Sisacko-moslavacka zupanija","Number","2011","Total","2,545",""
"45 years","Sisacko-moslavacka zupanija","Number","2011","Males","1,314",""
"45 years","Sisacko-moslavacka zupanija","Number","2011","Females","1,231",""
"From 45 to 49 years","Croatia","Number","2011","Total","307,561",""
"From 45 to 49 years","Croatia","Number","2011","Males","152,446",""
"From 45 to 49 years","Croatia","Number","2011","Females","155,115",""
"From 45 to 49 years","Hrvatska","Number","2011","Total","307,561",""
"From 45 to 49 years","Hrvatska","Number","2011","Males","152,446",""
"From 45 to 49 years","Hrvatska","Number","2011","Females","155,115",""
"From 45 to 49 years","Jadranska Hrvatska","Number","2011","Total","99,759",""
"From 45 to 49 years","Jadranska Hrvatska","Number","2011","Males","49,274",""
"From 45 to 49 years","Jadranska Hrvatska","Number","2011","Females","50,485",""
"From 45 to 49 years","Primorsko-goranska zupanija","Number","2011","Total","21,121",""
"From 45 to 49 years","Primorsko-goranska zupanija","Number","2011","Males","10,165",""
"From 45 to 49 years","Primorsko-goranska zupanija","Number","2011","Females","10,956",""
"From 45 to 49 years","Licko-senjska zupanija","Number","2011","Total","3,706",""
"From 45 to 49 years","Licko-senjska zupanija","Number","2011","Males","1,985",""
"From 45 to 49 years","Licko-senjska zupanija","Number","2011","Females","1,721",""
"From 45 to 49 years","Zadarska zupanija","Number","2011","Total","11,376",""
"From 45 to 49 years","Zadarska zupanija","Number","2011","Males","5,691",""
"From 45 to 49 years","Zadarska zupanija","Number","2011","Females","5,685",""
"From 45 to 49 years","Sibensko-kninska zupanija","Number","2011","Total","7,483",""
"From 45 to 49 years","Sibensko-kninska zupanija","Number","2011","Males","3,755",""
"From 45 to 49 years","Sibensko-kninska zupanija","Number","2011","Females","3,728",""
"From 45 to 49 years","Splitsko-dalmatinska zupanija","Number","2011","Total","31,878",""
"From 45 to 49 years","Splitsko-dalmatinska zupanija","Number","2011","Males","15,838",""
"From 45 to 49 years","Splitsko-dalmatinska zupanija","Number","2011","Females","16,040",""
"From 45 to 49 years","Istarska zupanija","Number","2011","Total","15,847",""
"From 45 to 49 years","Istarska zupanija","Number","2011","Males","7,842",""
"From 45 to 49 years","Istarska zupanija","Number","2011","Females","8,005",""
"From 45 to 49 years","Dubrovacko-neretvanska zupanija","Number","2011","Total","8,348",""
"From 45 to 49 years","Dubrovacko-neretvanska zupanija","Number","2011","Males","3,998",""
"From 45 to 49 years","Dubrovacko-neretvanska zupanija","Number","2011","Females","4,350",""
"From 45 to 49 years","Kontinentalna Hrvatska","Number","2011","Total","207,802",""
"From 45 to 49 years","Kontinentalna Hrvatska","Number","2011","Males","103,172",""
"From 45 to 49 years","Kontinentalna Hrvatska","Number","2011","Females","104,630",""
"From 45 to 49 years","Grad Zagreb","Number","2011","Total","53,705",""
"From 45 to 49 years","Grad Zagreb","Number","2011","Males","25,378",""
"From 45 to 49 years","Grad Zagreb","Number","2011","Females","28,327",""
"From 45 to 49 years","Zagrebacka zupanija","Number","2011","Total","22,413",""
"From 45 to 49 years","Zagrebacka zupanija","Number","2011","Males","11,217",""
"From 45 to 49 years","Zagrebacka zupanija","Number","2011","Females","11,196",""
"From 45 to 49 years","Krapinsko-zagorska zupanija","Number","2011","Total","10,349",""
"From 45 to 49 years","Krapinsko-zagorska zupanija","Number","2011","Males","5,416",""
"From 45 to 49 years","Krapinsko-zagorska zupanija","Number","2011","Females","4,933",""
"From 45 to 49 years","Varazdinska zupanija","Number","2011","Total","13,380",""
"From 45 to 49 years","Varazdinska zupanija","Number","2011","Males","6,832",""
"From 45 to 49 years","Varazdinska zupanija","Number","2011","Females","6,548",""
"From 45 to 49 years","Koprivnicko-krizevacka zupanija","Number","2011","Total","8,643",""
"From 45 to 49 years","Koprivnicko-krizevacka zupanija","Number","2011","Males","4,373",""
"From 45 to 49 years","Koprivnicko-krizevacka zupanija","Number","2011","Females","4,270",""
"From 45 to 49 years","Medimurska zupanija","Number","2011","Total","8,379",""
"From 45 to 49 years","Medimurska zupanija","Number","2011","Males","4,168",""
"From 45 to 49 years","Medimurska zupanija","Number","2011","Females","4,211",""
"From 45 to 49 years","Bjelovarsko-bilogorska zupanija","Number","2011","Total","8,739",""
"From 45 to 49 years","Bjelovarsko-bilogorska zupanija","Number","2011","Males","4,375",""
"From 45 to 49 years","Bjelovarsko-bilogorska zupanija","Number","2011","Females","4,364",""
"From 45 to 49 years","Viroviticko-podravska zupanija","Number","2011","Total","6,567",""
"From 45 to 49 years","Viroviticko-podravska zupanija","Number","2011","Males","3,340",""
"From 45 to 49 years","Viroviticko-podravska zupanija","Number","2011","Females","3,227",""
"From 45 to 49 years","Pozesko-slavonska zupanija","Number","2011","Total","5,553",""
"From 45 to 49 years","Pozesko-slavonska zupanija","Number","2011","Males","2,838",""
"From 45 to 49 years","Pozesko-slavonska zupanija","Number","2011","Females","2,715",""
"From 45 to 49 years","Brodsko-posavska zupanija","Number","2011","Total","11,609",""
"From 45 to 49 years","Brodsko-posavska zupanija","Number","2011","Males","5,885",""
"From 45 to 49 years","Brodsko-posavska zupanija","Number","2011","Females","5,724",""
"From 45 to 49 years","Osjecko-baranjska zupanija","Number","2011","Total","23,409",""
"From 45 to 49 years","Osjecko-baranjska zupanija","Number","2011","Males","11,628",""
"From 45 to 49 years","Osjecko-baranjska zupanija","Number","2011","Females","11,781",""
"From 45 to 49 years","Vukovarsko-srijemska zupanija","Number","2011","Total","13,077",""
"From 45 to 49 years","Vukovarsko-srijemska zupanija","Number","2011","Males","6,608",""
"From 45 to 49 years","Vukovarsko-srijemska zupanija","Number","2011","Females","6,469",""
"From 45 to 49 years","Karlovacka zupanija","Number","2011","Total","9,599",""
"From 45 to 49 years","Karlovacka zupanija","Number","2011","Males","4,818",""
"From 45 to 49 years","Karlovacka zupanija","Number","2011","Females","4,781",""
"From 45 to 49 years","Sisacko-moslavacka zupanija","Number","2011","Total","12,380",""
"From 45 to 49 years","Sisacko-moslavacka zupanija","Number","2011","Males","6,296",""
"From 45 to 49 years","Sisacko-moslavacka zupanija","Number","2011","Females","6,084",""
"46 years","Croatia","Number","2011","Total","59,629",""
"46 years","Croatia","Number","2011","Males","29,590",""
"46 years","Croatia","Number","2011","Females","30,039",""
"46 years","Hrvatska","Number","2011","Total","59,629",""
"46 years","Hrvatska","Number","2011","Males","29,590",""
"46 years","Hrvatska","Number","2011","Females","30,039",""
"46 years","Jadranska Hrvatska","Number","2011","Total","19,528",""
"46 years","Jadranska Hrvatska","Number","2011","Males","9,614",""
"46 years","Jadranska Hrvatska","Number","2011","Females","9,914",""
"46 years","Primorsko-goranska zupanija","Number","2011","Total","4,075",""
"46 years","Primorsko-goranska zupanija","Number","2011","Males","1,919",""
"46 years","Primorsko-goranska zupanija","Number","2011","Females","2,156",""
"46 years","Licko-senjska zupanija","Number","2011","Total","734",""
"46 years","Licko-senjska zupanija","Number","2011","Males","390",""
"46 years","Licko-senjska zupanija","Number","2011","Females","344",""
"46 years","Zadarska zupanija","Number","2011","Total","2,314",""
"46 years","Zadarska zupanija","Number","2011","Males","1,149",""
"46 years","Zadarska zupanija","Number","2011","Females","1,165",""
"46 years","Sibensko-kninska zupanija","Number","2011","Total","1,464",""
"46 years","Sibensko-kninska zupanija","Number","2011","Males","723",""
"46 years","Sibensko-kninska zupanija","Number","2011","Females","741",""
"46 years","Splitsko-dalmatinska zupanija","Number","2011","Total","6,269",""
"46 years","Splitsko-dalmatinska zupanija","Number","2011","Males","3,123",""
"46 years","Splitsko-dalmatinska zupanija","Number","2011","Females","3,146",""
"46 years","Istarska zupanija","Number","2011","Total","3,046",""
"46 years","Istarska zupanija","Number","2011","Males","1,514",""
"46 years","Istarska zupanija","Number","2011","Females","1,532",""
"46 years","Dubrovacko-neretvanska zupanija","Number","2011","Total","1,626",""
"46 years","Dubrovacko-neretvanska zupanija","Number","2011","Males","796",""
"46 years","Dubrovacko-neretvanska zupanija","Number","2011","Females","830",""
"46 years","Kontinentalna Hrvatska","Number","2011","Total","40,101",""
"46 years","Kontinentalna Hrvatska","Number","2011","Males","19,976",""
"46 years","Kontinentalna Hrvatska","Number","2011","Females","20,125",""
"46 years","Grad Zagreb","Number","2011","Total","10,432",""
"46 years","Grad Zagreb","Number","2011","Males","4,920",""
"46 years","Grad Zagreb","Number","2011","Females","5,512",""
"46 years","Zagrebacka zupanija","Number","2011","Total","4,313",""
"46 years","Zagrebacka zupanija","Number","2011","Males","2,202",""
"46 years","Zagrebacka zupanija","Number","2011","Females","2,111",""
"46 years","Krapinsko-zagorska zupanija","Number","2011","Total","2,064",""
"46 years","Krapinsko-zagorska zupanija","Number","2011","Males","1,066",""
"46 years","Krapinsko-zagorska zupanija","Number","2011","Females","998",""
"46 years","Varazdinska zupanija","Number","2011","Total","2,575",""
"46 years","Varazdinska zupanija","Number","2011","Males","1,275",""
"46 years","Varazdinska zupanija","Number","2011","Females","1,300",""
"46 years","Koprivnicko-krizevacka zupanija","Number","2011","Total","1,666",""
"46 years","Koprivnicko-krizevacka zupanija","Number","2011","Males","871",""
"46 years","Koprivnicko-krizevacka zupanija","Number","2011","Females","795",""
"46 years","Medimurska zupanija","Number","2011","Total","1,548",""
"46 years","Medimurska zupanija","Number","2011","Males","765",""
"46 years","Medimurska zupanija","Number","2011","Females","783",""
"46 years","Bjelovarsko-bilogorska zupanija","Number","2011","Total","1,716",""
"46 years","Bjelovarsko-bilogorska zupanija","Number","2011","Males","883",""
"46 years","Bjelovarsko-bilogorska zupanija","Number","2011","Females","833",""
